Location,Male,Female,Total,Footnotes
United States,153737300,160729100,314466400,1
Alabama,2277300,2452800,4730100,
Alaska,369900,345000,714900,
Arizona,3328400,3432500,6760900,
Arkansas,1413400,1482000,2895400,
California,18973300,19469100,38442400,
Colorado,2691400,2706600,5398100,
Connecticut,1685000,1780100,3465100,
Delaware,443500,480900,924300,
District of Columbia,303500,340900,644400,
Florida,9762700,10381400,20144000,
Georgia,4809700,5191400,10001000,
Hawaii,671300,693300,1364600,
Idaho,818600,832100,1650700,
Illinois,6099600,6391600,12491200,
Indiana,3151300,3280100,6431400,
Iowa,1499200,1531200,3030400,
Kansas,1391200,1425800,2817000,
Kentucky,2091500,2196100,4287700,
Louisiana,2186300,2344200,4530500,
Maine,628700,665100,1293800,
Maryland,2811700,3044800,5856500,
Massachusetts,3190200,3380400,6570600,
Michigan,4743300,4950300,9693500,
Minnesota,2675000,2718000,5392900,
Mississippi,1374200,1513100,2887300,
Missouri,2887900,3010200,5898000,
Montana,509400,505700,1015100,
Nebraska,915800,929200,1845000,
Nevada,1437900,1452400,2890400,
New Hampshire,644900,646400,1291300,
New Jersey,4259000,4503700,8762700,
New Mexico,991900,1037500,2029400,
New York,9303100,9918400,19221500,
North Carolina,4731200,5098700,9829900,
North Dakota,371400,354500,725900,
Ohio,5511800,5767000,11278700,
Oklahoma,1867200,1933600,3800800,
Oregon,1986000,2028500,4014500,
Pennsylvania,6029200,6335500,12364700,
Rhode Island,490700,523300,1013900,
South Carolina,2307400,2497900,4805300,
South Dakota,419300,416500,835800,
Tennessee,3133100,3334700,6467700,
Texas,13365000,13813300,27178300,
Utah,1505600,1493700,2999300,
Vermont,294700,304900,599600,
Virginia,3917200,4163600,8080900,
Washington,3527900,3596300,7124100,
West Virginia,875600,906100,1781700,
Wisconsin,2776300,2847000,5623300,
Wyoming,287400,282000,569400,
Puerto Rico,1604900,1774200,3379100,
