Location,Male,Female,Total,Footnotes
United States,150298300,157207200,307505500,1
Alabama,2262400,2443400,4705800,
Alaska,361600,343500,705100,
Arizona,3182600,3283200,6465700,
Arkansas,1408900,1459700,2868600,
California,18513000,18998300,37511300,
Colorado,2557100,2573100,5130200,
Connecticut,1691500,1787500,3479000,
Delaware,433200,465300,898500,
District of Columbia,285600,324700,610300,
Florida,9260200,9833000,19093200,
Georgia,4680800,5010100,9690900,
Hawaii,651600,679900,1331500,
Idaho,788300,792500,1580900,
Illinois,6150300,6420800,12571100,
Indiana,3114000,3252500,6366500,
Iowa,1477500,1512800,2990300,
Kansas,1382100,1414500,2796500,
Kentucky,2083600,2177200,4260900,
Louisiana,2160000,2323200,4483200,
Maine,630500,661400,1291900,
Maryland,2783500,2984100,5767500,
Massachusetts,3122600,3328900,6451500,
Michigan,4722700,4941600,9664300,
Minnesota,2604800,2683100,5287800,
Mississippi,1387100,1502100,2889200,
Missouri,2852000,3001100,5853100,
Montana,490300,496000,986300,
Nebraska,893900,917400,1811200,
Nevada,1371000,1374500,2745400,
New Hampshire,629200,651500,1280700,
New Jersey,4232400,4484400,8716900,
New Mexico,1003900,1036300,2040200,
New York,9246000,9873600,19119600,
North Carolina,4587700,4934800,9522500,
North Dakota,351700,341800,693500,
Ohio,5468700,5770900,11239600,
Oklahoma,1824900,1902000,3726900,
Oregon,1899800,1951800,3851600,
Pennsylvania,5997200,6347100,12344300,
Rhode Island,494100,514500,1008600,
South Carolina,2217100,2399200,4616200,
South Dakota,407300,404300,811600,
Tennessee,3069300,3249400,6318700,
Texas,12688700,13084300,25773000,
Utah,1430900,1418500,2849400,
Vermont,296900,305800,602700,
Virginia,3843400,4102300,7945700,
Washington,3371600,3426200,6797800,
West Virginia,883300,914900,1798200,
Wisconsin,2765500,2827000,5592500,
Wyoming,286200,281100,567300,
Puerto Rico,1705800,1876200,3582000,
