Location,Male,Female,Total,Footnotes
United States,155725900,162772600,318498500,1
Alabama,2283600,2469100,4752600,
Alaska,356400,352700,709100,
Arizona,3446800,3557500,7004300,
Arkansas,1418300,1503000,2921300,
California,19128300,19617600,38745900,
Colorado,2768600,2786600,5555200,
Connecticut,1680300,1786100,3466300,
Delaware,449300,488300,937700,
District of Columbia,314900,353000,667900,
Florida,10090000,10753500,20843500,
Georgia,4915800,5297100,10212800,
Hawaii,663800,691000,1354800,
Idaho,858300,861300,1719600,
Illinois,6090000,6348300,12438400,
Indiana,3174900,3312200,6487100,
Iowa,1515700,1541100,3056800,
Kansas,1393600,1421200,2814700,
Kentucky,2105800,2214500,4320300,
Louisiana,2178500,2340900,4519300,
Maine,630300,669200,1299500,
Maryland,2822200,3048600,5870800,
Massachusetts,3237700,3422200,6659900,
Michigan,4790600,4979500,9770000,
Minnesota,2740500,2748500,5489000,
Mississippi,1376400,1502900,2879400,
Missouri,2887800,3046700,5934500,
Montana,521800,512100,1034000,
Nebraska,926200,942800,1868900,
Nevada,1485600,1497800,2983400,
New Hampshire,647600,662700,1310300,
New Jersey,4237700,4490600,8728300,
New Mexico,1004000,1041300,2045300,
New York,9194500,9822400,19016900,
North Carolina,4825800,5218500,10044400,
North Dakota,371900,358700,730600,
Ohio,5549800,5806100,11355900,
Oklahoma,1869400,1946700,3816100,
Oregon,2029000,2081900,4110800,
Pennsylvania,6033600,6354400,12388100,
Rhode Island,493100,520800,1014000,
South Carolina,2366900,2562900,4929800,
South Dakota,425300,423400,848700,
Tennessee,3194900,3391500,6586400,
Texas,13796400,14227600,28024000,
Utah,1563300,1542600,3105900,
Vermont,296500,304200,600600,
Virginia,3965100,4216900,8182100,
Washington,3660100,3707900,7368000,
West Virginia,864400,887900,1752300,
Wisconsin,2802000,2860900,5662800,
Wyoming,282600,277700,560300,
Puerto Rico,1501100,1663300,3164400,
