Location,Male,Female,Total,Footnotes
United States,146735000,154071300,300806200,1
Alabama,2243900,2407500,4651400,
Alaska,347700,336900,684600,
Arizona,3077700,3179300,6256900,
Arkansas,1381900,1452100,2834000,
California,17997100,18518600,36515700,
Colorado,2447000,2469200,4916200,
Connecticut,1671500,1792200,3463700,
Delaware,419400,452200,871700,
District of Columbia,266400,303700,570200,
Florida,8909000,9489800,18398800,
Georgia,4549500,4865100,9414700,
Hawaii,636200,665400,1301600,
Idaho,766500,772400,1538900,
Illinois,6131800,6404600,12536400,
Indiana,3080300,3209000,6289300,
Iowa,1456900,1491300,2948200,
Kansas,1350400,1410600,2761000,
Kentucky,2047000,2160100,4207100,
Louisiana,2127100,2273300,4400400,
Maine,629000,661600,1290600,
Maryland,2700700,2921400,5622200,
Massachusetts,3059000,3269400,6328400,
Michigan,4719700,4937900,9657600,
Minnesota,2575000,2612500,5187500,
Mississippi,1372500,1494700,2867200,
Missouri,2817200,2984800,5802000,
Montana,484300,478500,962800,
Nebraska,875300,895700,1771000,
Nevada,1332500,1325100,2657600,
New Hampshire,626500,649500,1276000,
New Jersey,4174600,4445800,8620400,
New Mexico,986400,1031600,2018000,
New York,9085200,9774800,18860000,
North Carolina,4444800,4796300,9241100,
North Dakota,327200,319900,647200,
Ohio,5450500,5765100,11215700,
Oklahoma,1772000,1863500,3635500,
Oregon,1855400,1908500,3764000,
Pennsylvania,5956000,6337700,12293700,
Rhode Island,487000,522200,1009200,
South Carolina,2146200,2330300,4476500,
South Dakota,394200,392800,787000,
Tennessee,2989100,3197100,6186200,
Texas,12049900,12534500,24584400,
Utah,1363000,1361100,2724100,
Vermont,293900,305500,599500,
Virginia,3723400,3980500,7703800,
Washington,3246500,3329300,6575900,
West Virginia,880100,918900,1799000,
Wisconsin,2734900,2798500,5533400,
Wyoming,275500,272900,548400,
Puerto Rico,1759000,1924900,3684000,
