Location,Male,Female,Total,Footnotes
United States,149124800,156251800,305376600,1
Alabama,2252100,2443900,4696000,
Alaska,364300,342000,706200,
Arizona,3141600,3244700,6386300,
Arkansas,1396400,1463800,2860200,
California,18358100,18863300,37221500,
Colorado,2508100,2537700,5045900,
Connecticut,1686000,1793300,3479300,
Delaware,428700,459300,888000,
District of Columbia,279500,316400,596000,
Florida,9147900,9729000,18876900,
Georgia,4643000,4973400,9616400,
Hawaii,656800,673500,1330300,
Idaho,777400,785100,1562500,
Illinois,6131500,6436400,12567900,
Indiana,3107500,3231300,6338800,
Iowa,1474200,1501800,2976000,
Kansas,1376200,1411300,2787500,
Kentucky,2063500,2171600,4235100,
Louisiana,2148600,2308400,4457000,
Maine,634400,658100,1292600,
Maryland,2748700,2974000,5722700,
Massachusetts,3096900,3313700,6410600,
Michigan,4720500,4938800,9659300,
Minnesota,2607800,2648500,5256300,
Mississippi,1374600,1509900,2884500,
Missouri,2836400,2994200,5830600,
Montana,486000,492700,978700,
Nebraska,886400,908700,1795100,
Nevada,1360800,1350100,2710900,
New Hampshire,627400,652700,1280100,
New Jersey,4208200,4477300,8685500,
New Mexico,1004900,1034300,2039200,
New York,9199500,9840700,19040100,
North Carolina,4550400,4888800,9439200,
North Dakota,344100,327800,671900,
Ohio,5454600,5767400,11222100,
Oklahoma,1807200,1882200,3689500,
Oregon,1892900,1932600,3825500,
Pennsylvania,6007700,6339900,12347600,
Rhode Island,486700,521200,1007900,
South Carolina,2193100,2375900,4569100,
South Dakota,399300,401200,800400,
Tennessee,3034800,3242600,6277400,
Texas,12477500,12906800,25384300,
Utah,1407300,1394400,2801700,
Vermont,297700,303000,600700,
Virginia,3791700,4073800,7865500,
Washington,3333000,3399900,6732900,
West Virginia,882600,919200,1801800,
Wisconsin,2748200,2817900,5566100,
Wyoming,281900,277000,559000,
Puerto Rico,1734000,1900100,3634000,
