Location,Male,Female,Total,Footnotes
United States,147958500,155122200,303080600,1
Alabama,2232900,2443100,4676000,
Alaska,353800,343300,697100,
Arizona,3113200,3211300,6324500,
Arkansas,1399700,1449800,2849500,
California,18197200,18665600,36862800,
Colorado,2477600,2506300,4983900,
Connecticut,1681500,1784800,3466400,
Delaware,422600,457500,880100,
District of Columbia,276600,307200,583900,
Florida,9024400,9589800,18614200,
Georgia,4601500,4915900,9517400,
Hawaii,638900,673000,1311900,
Idaho,773900,773400,1547300,
Illinois,6122500,6431300,12553800,
Indiana,3095500,3221600,6317100,
Iowa,1463300,1500500,2963800,
Kansas,1366100,1406000,2772200,
Kentucky,2062000,2166000,4227900,
Louisiana,2142000,2289200,4431200,
Maine,629400,662800,1292200,
Maryland,2718300,2950400,5668600,
Massachusetts,3079500,3281000,6360600,
Michigan,4712500,4942600,9655100,
Minnesota,2587400,2635000,5222300,
Mississippi,1386300,1492200,2878500,
Missouri,2835000,2988400,5823500,
Montana,485500,486200,971600,
Nebraska,881400,900900,1782300,
Nevada,1336900,1338900,2675800,
New Hampshire,632500,645700,1278200,
New Jersey,4191400,4447300,8638700,
New Mexico,1000700,1035800,2036500,
New York,9133700,9806800,18940500,
North Carolina,4489200,4863900,9353100,
North Dakota,329900,327200,657100,
Ohio,5463700,5760900,11224600,
Oklahoma,1796700,1868200,3664800,
Oregon,1866500,1927100,3793500,
Pennsylvania,5973400,6344900,12318300,
Rhode Island,485600,521700,1007400,
South Carolina,2170400,2349100,4519500,
South Dakota,392000,399400,791400,
Tennessee,3014800,3215700,6230500,
Texas,12272700,12733400,25006100,
Utah,1386100,1381400,2767500,
Vermont,294700,305000,599800,
Virginia,3773000,4010700,7783700,
Washington,3289600,3364800,6654400,
West Virginia,884200,918000,1802200,
Wisconsin,2741600,2808300,5549900,
Wyoming,278600,273000,551600,
Puerto Rico,1745200,1926500,3671700,
