Fecha,Year,Blanco,Negro,Asiatico,Hispano,Hombre,Mujer,Estado,Blanco_Cantidad,Negro_Cantidad,Asiatico_Cantidad,Hispano_Cantidad,Hombre_Cantidad,Mujer_Cantidad
2016-01-01,2016,4.2,8.7,3.600000000000001,5.8,4.4,4.5,United States,8086575,3313107,612162,3256375,6764441,7232809
2016-02-01,2016,4.3,8.5,3.8,5.4,4.5,4.5,United States,8279112,3236944,646171,3031797,6918178,7232809
2016-03-01,2016,4.3,8.9,3.9,5.5,4.5,4.6,United States,8279112,3389271,663175,3087942,6918178,7393538
2016-04-01,2016,4.4,8.8,3.8,6.1,4.6,4.6,United States,8471650,3351189,646171,3424808,7071915,7393538
2016-05-01,2016,4.2,8.2,4.2,5.6,4.5,4.3,United States,8086575,3122699,714189,3144086,6918178,6911351
2016-06-01,2016,4.3,8.8,3.5,5.9,4.5,4.4,United States,8279112,3351189,595157,3312519,6918178,7072080
2016-07-01,2016,4.2,8.4,3.8,5.5,4.6,4.2,United States,8086575,3198862,646171,3087942,7071915,6750622
2016-08-01,2016,4.3,8.0,4.1,5.6,4.5,4.4,United States,8279112,3046536,697184,3144086,6918178,7072080
2016-09-01,2016,4.4,8.5,3.8,6.4,4.7,4.4,United States,8471650,3236944,646171,3593241,7225653,7072080
2016-10-01,2016,4.4,8.4,3.4,5.8,4.6,4.4,United States,8471650,3198862,578153,3256375,7071915,7072080
2016-11-01,2016,4.2,8.1,3.1,5.8,4.3,4.3,United States,8086575,3084617,527139,3256375,6610703,6911351
2016-12-01,2016,4.2,7.9,2.7,5.9,4.4,4.3,United States,8086575,3008454,459121,3312519,6764441,6911351
