Fecha,Year,Blanco,Negro,Asiatico,Hispano,Hombre,Mujer,Estado,Blanco_Cantidad,Negro_Cantidad,Asiatico_Cantidad,Hispano_Cantidad,Hombre_Cantidad,Mujer_Cantidad
2011-01-01,2011,8.1,15.8,6.800000000000001,12.3,9.0,7.9,United States,15558528,5763524,989923,6248596,13316265,12254653
2011-02-01,2011,8.1,15.5,6.7,11.8,8.9,7.9,United States,15558528,5654090,975365,5994588,13168306,12254653
2011-03-01,2011,8.0,15.8,7.3,11.6,8.8,7.8,United States,15366448,5763524,1062712,5892985,13020348,12099531
2011-04-01,2011,8.1,16.5,6.5,11.9,8.9,8.0,United States,15558528,6018870,946250,6045390,13168306,12409776
2011-05-01,2011,7.9,16.3,7.200000000000001,11.6,8.8,8.0,United States,15174367,5945914,1048154,5892985,13020348,12409776
2011-06-01,2011,8.1,16.2,6.5,11.5,9.0,8.0,United States,15558528,5909436,946250,5842184,13316265,12409776
2011-07-01,2011,8.0,15.9,7.400000000000001,11.2,8.8,7.9,United States,15366448,5800002,1077269,5689779,13020348,12254653
2011-08-01,2011,7.9,16.4,7.200000000000001,11.2,8.7,7.9,United States,15174367,5982391,1048154,5689779,12872389,12254653
2011-09-01,2011,7.9,15.9,8.0,11.2,8.7,8.2,United States,15174367,5800002,1164616,5689779,12872389,12720020
2011-10-01,2011,7.9,14.6,7.400000000000001,11.3,8.6,7.8,United States,15174367,5325788,1077269,5740580,12724430,12099531
2011-11-01,2011,7.7,15.6,6.4,11.2,8.2,7.8,United States,14790206,5690568,931692,5689779,12132596,12099531
2011-12-01,2011,7.5,15.4,6.800000000000001,11.1,8.0,7.8,United States,14406045,5617612,989923,5638977,11836680,12099531
