Fecha,Year,Blanco,Negro,Asiatico,Hispano,Hombre,Mujer,Estado,Blanco_Cantidad,Negro_Cantidad,Asiatico_Cantidad,Hispano_Cantidad,Hombre_Cantidad,Mujer_Cantidad
2012-01-01,2012,7.400000000000001,13.6,6.7,10.7,7.7,7.6,United States,14230570,5004460,1009549,5539753,11482609,11875136
2012-02-01,2012,7.400000000000001,14.0,6.2,10.9,7.7,7.6,United States,14230570,5151650,934209,5643300,11482609,11875136
2012-03-01,2012,7.3,14.0,6.4,10.6,7.7,7.400000000000001,United States,14038265,5151650,964345,5487980,11482609,11562633
2012-04-01,2012,7.400000000000001,13.3,5.4,10.3,7.6,7.400000000000001,United States,14230570,4894067,813666,5332660,11333484,11562633
2012-05-01,2012,7.400000000000001,13.5,5.5,10.9,7.7,7.400000000000001,United States,14230570,4967662,828734,5643300,11482609,11562633
2012-06-01,2012,7.3,14.5,6.1,10.9,7.7,7.400000000000001,United States,14038265,5335637,919141,5643300,11482609,11562633
2012-07-01,2012,7.3,14.2,5.9,10.2,7.7,7.400000000000001,United States,14038265,5225244,889006,5280886,11482609,11562633
2012-08-01,2012,7.200000000000001,13.8,5.9,10.1,7.6,7.3,United States,13845960,5078055,889006,5229113,11333484,11406381
2012-09-01,2012,7.000000000000001,13.6,4.9,9.7,7.3,7.1,United States,13461350,5004460,738327,5022019,10886110,11093877
2012-10-01,2012,6.9,14.1,4.9,10.0,7.200000000000001,7.1,United States,13269045,5188447,738327,5177340,10736985,11093877
2012-11-01,2012,6.800000000000001,13.3,6.3,9.9,7.200000000000001,7.000000000000001,United States,13076740,4894067,949277,5125566,10736985,10937626
2012-12-01,2012,6.9,14.0,6.600000000000001,9.6,7.200000000000001,7.400000000000001,United States,13269045,5151650,994481,4970246,10736985,11562633
