Fecha,Year,Blanco,Negro,Asiatico,Hispano,Hombre,Mujer,Estado,Blanco_Cantidad,Negro_Cantidad,Asiatico_Cantidad,Hispano_Cantidad,Hombre_Cantidad,Mujer_Cantidad
2018-01-01,2018,3.5,7.5,3.0,5.0,3.8,3.600000000000001,United States,6724095,2899177,535344,2924180,5917584,5859813
2018-02-01,2018,3.700000000000001,6.7,2.9,4.9,3.700000000000001,3.8,United States,7108329,2589931,517499,2865696,5761858,6185358
2018-03-01,2018,3.600000000000001,6.800000000000001,3.1,5.0,3.700000000000001,3.700000000000001,United States,6916212,2628587,553188,2924180,5761858,6022586
2018-04-01,2018,3.600000000000001,6.4,2.8,4.8,3.700000000000001,3.5,United States,6916212,2473964,499654,2807212,5761858,5697041
2018-05-01,2018,3.5,5.9,2.2,4.9,3.600000000000001,3.4,United States,6724095,2280686,392585,2865696,5606132,5534268
2018-06-01,2018,3.5,6.5,3.2,4.5,3.700000000000001,3.600000000000001,United States,6724095,2512620,571033,2631762,5761858,5859813
2018-07-01,2018,3.3,6.600000000000001,3.1,4.4,3.4,3.600000000000001,United States,6339861,2551276,553188,2573278,5294680,5859813
2018-08-01,2018,3.4,6.3,3.0,4.7,3.5,3.5,United States,6531978,2435309,535344,2748729,5450406,5697041
2018-09-01,2018,3.3,6.2,3.5,4.6,3.4,3.3,United States,6339861,2396653,624568,2690245,5294680,5371495
2018-10-01,2018,3.3,6.3,3.1,4.4,3.5,3.4,United States,6339861,2435309,553188,2573278,5450406,5534268
2018-11-01,2018,3.4,6.1,2.8,4.5,3.3,3.4,United States,6531978,2357997,499654,2631762,5138954,5534268
2018-12-01,2018,3.4,6.600000000000001,3.3,4.4,3.600000000000001,3.5,United States,6531978,2551276,588878,2573278,5606132,5697041
