Fecha,Year,Blanco,Negro,Asiatico,Hispano,Hombre,Mujer,Estado,Blanco_Cantidad,Negro_Cantidad,Asiatico_Cantidad,Hispano_Cantidad,Hombre_Cantidad,Mujer_Cantidad
2014-01-01,2014,5.7,12.1,4.7,8.3,6.2,5.8,United States,10967917,4549527,759355,4486946,9395405,9203057
2014-02-01,2014,5.8,11.8,5.9,8.2,6.3,5.9,United States,11160336,4436729,953233,4432887,9546944,9361730
2014-03-01,2014,5.8,12.1,5.5,7.9,6.1,6.2,United States,11160336,4549527,888607,4270708,9243866,9837750
2014-04-01,2014,5.3,11.6,5.9,7.200000000000001,5.9,5.6,United States,10198238,4361530,953233,3892291,8940789,8885710
2014-05-01,2014,5.4,11.4,5.7,7.7,5.9,5.8,United States,10390658,4286331,920920,4162589,8940789,9203057
2014-06-01,2014,5.3,11.0,4.7,7.8,5.7,5.3,United States,10198238,4135934,759355,4216648,8637711,8409690
2014-07-01,2014,5.3,11.6,4.2,7.7,5.7,5.6,United States,10198238,4361530,678573,4162589,8637711,8885710
2014-08-01,2014,5.3,11.4,4.5,7.400000000000001,5.7,5.6,United States,10198238,4286331,727042,4000410,8637711,8885710
2014-09-01,2014,5.1,11.0,4.4,6.800000000000001,5.3,5.5,United States,9813399,4135934,710886,3676052,8031556,8727037
2014-10-01,2014,4.9,10.6,5.1,6.800000000000001,5.1,5.4,United States,9428560,3985536,823981,3676052,7728478,8568363
2014-11-01,2014,5.0,10.9,4.8,6.600000000000001,5.4,5.3,United States,9620980,4098334,775512,3567933,8183095,8409690
2014-12-01,2014,4.7,10.6,4.4,6.4,5.2,5.1,United States,9043721,3985536,710886,3459814,7880017,8092343
