Fecha,Year,Blanco,Negro,Asiatico,Hispano,Hombre,Mujer,Estado,Blanco_Cantidad,Negro_Cantidad,Asiatico_Cantidad,Hispano_Cantidad,Hombre_Cantidad,Mujer_Cantidad
2019-01-01,2019,3.5,6.800000000000001,3.1,4.8,3.700000000000001,3.600000000000001,United States,6711498,2643309,558223,2836939,5772000,5868000
2019-02-01,2019,3.3,6.9,3.1,4.3,3.5,3.4,United States,6327984,2682181,558223,2541424,5460000,5542000
2019-03-01,2019,3.4,6.600000000000001,3.1,4.7,3.600000000000001,3.3,United States,6519741,2565565,558223,2777836,5616000,5379000
2019-04-01,2019,3.1,6.600000000000001,2.2,4.2,3.4,3.1,United States,5944470,2565565,396158,2482321,5304000,5053000
2019-05-01,2019,3.3,6.2,2.5,4.2,3.4,3.3,United States,6327984,2410076,450180,2482321,5304000,5379000
2019-06-01,2019,3.3,6.0,2.1,4.3,3.3,3.3,United States,6327984,2332332,378151,2541424,5148000,5379000
2019-07-01,2019,3.3,5.9,2.8,4.5,3.3,3.3,United States,6327984,2293459,504201,2659630,5148000,5379000
2019-08-01,2019,3.4,5.4,2.8,4.2,3.3,3.3,United States,6519741,2099098,504201,2482321,5148000,5379000
2019-09-01,2019,3.2,5.5,2.5,3.9,3.2,3.1,United States,6136227,2137971,450180,2305013,4992000,5053000
2019-10-01,2019,3.2,5.5,2.8,4.1,3.2,3.2,United States,6136227,2137971,504201,2423218,4992000,5216000
2019-11-01,2019,3.2,5.6,2.6,4.2,3.2,3.2,United States,6136227,2176843,468187,2482321,4992000,5216000
2019-12-01,2019,3.2,5.9,2.5,4.2,3.1,3.2,United States,6136227,2293459,450180,2482321,4836000,5216000
