Fecha,Year,Blanco,Negro,Asiatico,Hispano,Hombre,Mujer,Estado,Blanco_Cantidad,Negro_Cantidad,Asiatico_Cantidad,Hispano_Cantidad,Hombre_Cantidad,Mujer_Cantidad
2017-01-01,2017,4.2,7.5,3.700000000000001,5.8,4.3,4.4,United States,8078116,2880600,653094,3338514,6666320,7127643
2017-02-01,2017,4.0,7.9,3.4,5.5,4.3,4.2,United States,7693444,3034232,600140,3165833,6666320,6803659
2017-03-01,2017,3.9,7.9,3.3,5.0,4.2,3.9,United States,7501107,3034232,582489,2878030,6511289,6317684
2017-04-01,2017,3.9,7.9,3.3,5.1,3.9,4.1,United States,7501107,3034232,582489,2935590,6046197,6641667
2017-05-01,2017,3.8,7.7,3.700000000000001,5.2,4.0,4.1,United States,7308771,2957416,653094,2993151,6201228,6641667
2017-06-01,2017,3.8,7.1,3.600000000000001,4.9,4.0,4.0,United States,7308771,2726967,635443,2820469,6201228,6479676
2017-07-01,2017,3.700000000000001,7.400000000000001,3.8,5.1,4.0,3.9,United States,7116435,2842192,670745,2935590,6201228,6317684
2017-08-01,2017,3.8,7.7,3.9,5.2,4.1,4.0,United States,7308771,2957416,688396,2993151,6356258,6479676
2017-09-01,2017,3.700000000000001,7.200000000000001,3.600000000000001,5.1,3.9,3.9,United States,7116435,2765376,635443,2935590,6046197,6317684
2017-10-01,2017,3.5,7.400000000000001,3.0,4.9,3.8,3.700000000000001,United States,6731763,2842192,529536,2820469,5891166,5993700
2017-11-01,2017,3.700000000000001,7.400000000000001,3.0,4.8,3.8,3.700000000000001,United States,7116435,2842192,529536,2762908,5891166,5993700
2017-12-01,2017,3.700000000000001,6.7,2.5,5.0,3.700000000000001,3.700000000000001,United States,7116435,2573336,441280,2878030,5736135,5993700
